accession,Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,Unnamed: 14
DBK000,Bivalirudin,C98H138N24O33,0.0,[M+H]+,[M-H]-,,128270-60-0,,,,,,,,
DBK001,Leuprolide,C59H84N16O12,0.0,[M+H]+,[M-H]-,,53714-56-0,,,,,,,,
DBK002,Goserelin,C59H84N18O14,0.0,[M+H]+,[M-H]-,,65807-02-5,,,,,,,,
DBK003,Gramicidin D,C96H135N19O16,0.0,[M+H]+,[M-H]-,,1405-97-6,,,,,,,,
DBK004,Desmopressin,C46H64N14O12S2,0.0,[M+H]+,[M-H]-,,16679-58-6,,,,,,,,
DBK005,Cetrorelix,C70H92ClN17O14,0.0,[M+H]+,[M-H]-,,120287-85-6,,,,,,,,
DBK006,Vasopressin,C92H130N28O24S4,0.0,[M+H]+,[M-H]-,,11000-17-2,,,,,,,,
DBK007,Daptomycin,C72H101N17O26,0.0,[M+H]+,[M-H]-,,103060-53-3,,,,,,,,
DBK008,Cyclosporine,C62H111N11O12,0.0,[M+H]+,[M-H]-,,59865-13-3,,,,,,,,
DBK009,Felypressin,C46H65N13O11S2,0.0,[M+H]+,[M-H]-,,56-59-7,,,,,,,,
DBK0010,Octreotide,C49H66N10O10S2,0.0,[M+H]+,[M-H]-,,83150-76-9,,,,,,,,
DBK0011,Abarelix,C72H95ClN14O14,0.0,[M+H]+,[M-H]-,,183552-38-7,,,,,,,,
DBK0012,Pyridoxal phosphate,C8H10NO6P,0.0,[M+H]+,[M-H]-,,54-47-7,,,,,,,,
DBK0013,Cyanocobalamin,C63H88CoN14O14P,0.0,[M+H]+,[M-H]-,,68-19-9,,,,,,,,
DBK0014,Tetrahydrofolic acid,C19H23N7O6,0.0,[M+H]+,[M-H]-,,135-16-0,,,,,,,,
DBK0015,Histidine,C6H9N3O2,0.0,[M+H]+,[M-H]-,,71-00-1,,,,,,,,
DBK0016,Ademetionine,C15H22N6O5S,0.0,[M+H]+,[M-H]-,,29908-03-0,,,,,,,,
DBK0017,Pyruvic acid,C3H4O3,0.0,[M+H]+,[M-H]-,,127-17-3,,,,,,,,
DBK0018,Phenylalanine,C9H11NO2,0.0,[M+H]+,[M-H]-,,63-91-2,,,,,,,,
DBK0019,Biotin,C10H16N2O3S,0.0,[M+H]+,[M-H]-,,58-85-5,,,,,,,,
DBK0020,Choline,C5H14NO,0.0,[M+H]+,[M-H]-,,62-49-7,,,,,,,,
DBK0021,Lysine,C6H14N2O2,0.0,[M+H]+,[M-H]-,,56-87-1,,,,,,,,
DBK0022,Arginine,C6H14N4O2,0.0,[M+H]+,[M-H]-,,74-79-3,,,,,,,,
DBK0023,Ascorbic acid,C6H8O6,0.0,[M+H]+,[M-H]-,,50-81-7,,,,,,,,
DBK0024,Spermine,C10H26N4,0.0,[M+H]+,[M-H]-,,71-44-3,,,,,,,,
DBK0025,Aspartic acid,C4H7NO4,0.0,[M+H]+,[M-H]-,,56-84-8,,,,,,,,
DBK0026,Ornithine,C5H12N2O2,0.0,[M+H]+,[M-H]-,,70-26-8,,,,,,,,
DBK0027,L-Glutamine,C5H10N2O3,0.0,[M+H]+,[M-H]-,,56-85-9,,,,,,,,
DBK0028,Adenosine phosphate,C10H14N5O7P,0.0,[M+H]+,[M-H]-,,61-19-8,,,,,,,,
DBK0029,alpha-Linolenic acid,C18H30O2,0.0,[M+H]+,[M-H]-,,463-40-1,,,,,,,,
DBK0030,Serine,C3H7NO3,0.0,[M+H]+,[M-H]-,,56-45-1,,,,,,,,
DBK0031,Methionine,C5H11NO2S,0.0,[M+H]+,[M-H]-,,63-68-3,,,,,,,,
DBK0032,Tyrosine,C9H11NO3,0.0,[M+H]+,[M-H]-,,60-18-4,,,,,,,,
DBK0033,Calcitriol,C27H44O3,0.0,[M+H]+,[M-H]-,,32222-06-3,,,,,,,,
DBK0034,Lutein,C40H56O2,0.0,[M+H]+,[M-H]-,,127-40-2,,,,,,,,
DBK0035,Cystine,C6H12N2O4S2,0.0,[M+H]+,[M-H]-,,56-89-3,,,,,,,,
DBK0036,Succinic acid,C4H6O4,0.0,[M+H]+,[M-H]-,,110-15-6,,,,,,,,
DBK0037,Riboflavin,C17H20N4O6,0.0,[M+H]+,[M-H]-,,83-88-5,,,,,,,,
DBK0038,N-Acetylglucosamine,C8H15NO6,0.0,[M+H]+,[M-H]-,,7512-17-6,,,,,,,,
DBK0039,Glutamic acid,C5H9NO4,0.0,[M+H]+,[M-H]-,,56-86-0,,,,,,,,
DBK0040,Glutathione,C10H17N3O6S,0.0,[M+H]+,[M-H]-,,70-18-8,,,,,,,,
DBK0041,Phosphatidyl serine,C42H82NO10P,0.0,[M+H]+,[M-H]-,,1446756-47-3,,,,,,,,
DBK0042,Glycine,C2H5NO2,0.0,[M+H]+,[M-H]-,,56-40-6,,,,,,,,
DBK0043,Calcifediol,C27H44O2,0.0,[M+H]+,[M-H]-,,19356-17-3,,,,,,,,
DBK0044,Pyridoxal,C8H9NO3,0.0,[M+H]+,[M-H]-,,66-72-8,,,,,,,,
DBK0045,Creatine,C4H9N3O2,0.0,[M+H]+,[M-H]-,,57-00-1,,,,,,,,
DBK0046,Leucine,C6H13NO2,0.0,[M+H]+,[M-H]-,,61-90-5,,,,,,,,
DBK0047,Tryptophan,C11H12N2O2,0.0,[M+H]+,[M-H]-,,73-22-3,,,,,,,,
DBK0048,Cysteine,C3H7NO2S,0.0,[M+H]+,[M-H]-,,52-90-4,,,,,,,,
DBK0049,Thiamine,C12H17N4OS,0.0,[M+H]+,[M-H]-,,70-16-6,,,,,,,,
DBK0050,Ergocalciferol,C28H44O,0.0,[M+H]+,[M-H]-,,50-14-6,,,,,,,,
DBK0051,Dihomo-gamma-linolenic acid,C20H34O2,0.0,[M+H]+,[M-H]-,,1783-84-2,,,,,,,,
DBK0052,Citrulline,C6H13N3O3,0.0,[M+H]+,[M-H]-,,372-75-8,,,,,,,,
DBK0053,Threonine,C4H9NO3,0.0,[M+H]+,[M-H]-,,72-19-5,,,,,,,,
DBK0054,NADH,C21H29N7O14P2,0.0,[M+H]+,[M-H]-,,58-68-4,,,,,,,,
DBK0055,Folic acid,C19H19N7O6,0.0,[M+H]+,[M-H]-,,59-30-3,,,,,,,,
DBK0056,Icosapent,C20H30O2,0.0,[M+H]+,[M-H]-,,10417-94-4,,,,,,,,
DBK0057,Alanine,C3H7NO2,0.0,[M+H]+,[M-H]-,,56-41-7,,,,,,,,
DBK0058,Valine,C5H11NO2,0.0,[M+H]+,[M-H]-,,72-18-4,,,,,,,,
DBK0059,Vitamin A,C20H30O,0.0,[M+H]+,[M-H]-,,68-26-8,,,,,,,,
DBK0060,Vitamin E,C29H50O2,0.0,[M+H]+,[M-H]-,,59-02-9,,,,,,,,
