m/z,BY0_000001
201.1848527384891,444743.65625
201.2734364905313,532410.3125
201.2925963409297,369297.21875
201.3002959780847,1238073.25
201.6725598146923,349752.9375
202.1800398243359,3944715.0
202.1802033642154,3404311.5
202.180516059258,259927.390625
202.1822332492749,1317109.0
202.9537148605767,260839.875
202.9863904844211,598119.8125
203.0227342694125,245711.28125
203.0526270953389,332998.5
203.1835982792903,482282.21875
204.0888913687517,567872.8125
204.0890456673822,694854.625
204.1229329835852,4747284.0
204.1230803879336,4335853.0
204.1341517575377,864411.0625
204.1342976344177,687801.75
204.3904413278329,499104.90625
204.4366886599759,333231.28125
204.9932328198902,242470.4375
205.0020572954636,383568.03125
205.028669202764,417682.9375
205.0288311546004,424312.4375
205.0817408082091,385947.59375
205.0819706185191,475221.0
205.0856756992081,255191.921875
205.0859849813418,295216.875
205.0970044476801,389044.4375
205.097226500851,640991.375
205.1262206458955,339398.09375
205.1263359905132,304078.03125
205.1264965379656,487560.8125
205.1377300281304,250476.21875
205.9034601917074,496519.5625
205.9036572952553,546823.5625
206.9030432994391,392970.40625
206.9032169480254,266322.0
207.0078825246841,1785106.5
207.0080523806911,1831251.625
207.017646522716,271263.9375
207.9016969507559,275259.6875
207.9018866902882,261015.28125
207.9663701489114,1123867.25
207.966523156484,1062898.25
208.3687364375359,689105.25
208.3690331837013,9881652.0
208.3692253855982,742380.1875
208.3693315390988,295635.1875
208.7022454553244,1824845.0
208.7035104711216,1371279.0
209.033231133129,562051.375
209.0346903587309,992132.9375
209.0783049509793,353056.28125
209.0785138474466,262643.0625
209.1534544476614,797411.9375
209.1537023867725,985977.375
209.1898680896845,316103.5625
211.0939751160575,484657.15625
211.0941566959463,483424.34375
211.1692254625768,281138.90625
213.0522237640061,389695.71875
213.0524331101338,402878.6875
213.0976623586084,309630.9375
213.098084594321,3842715.5
213.0982864605925,4542016.0
213.0987002876429,248505.734375
213.1095991529799,462110.5625
213.10981029428,390860.09375
213.123467230203,334212.65625
214.002144959754,588508.75
214.0023612664118,791686.4375
214.1014111713809,468903.21875
214.1016370182996,512535.375
214.1297569839693,250646.40625
214.1299327835214,377359.71875
214.1800958543806,259315.71875
214.1802581418276,302862.8125
214.9530750118638,353303.84375
214.9532863985926,378713.4375
214.9627102188851,706661.6875
214.9628882446943,971947.125
214.997445384852,505361.4375
214.9976226120284,562107.0625
215.0065314366582,2070079.25
215.1389639334037,309645.78125
215.2005912102198,525132.5625
