m/z,dGLO1_000001
201.1584002935436,280874.1875
201.184841493092,631197.8125
201.2925978419225,266411.90625
201.3003057352851,526021.3125
201.6724392815832,215155.53125
202.1800420957212,4345036.5
202.1802026070857,3835185.75
202.1822430921589,1057460.125
202.3042298585557,220025.890625
202.9537133347087,237506.125
203.0526904806264,301846.46875
203.1066755100706,307363.5
203.1835761040538,541340.1875
204.0889075700967,635167.75
204.0890294660148,608534.375
204.1229368423353,2964245.0
204.1230657246646,2537903.5
204.1233273485756,247669.609375
204.1341702815741,628354.875
204.3904026391369,372856.65625
204.4366956270946,521582.46875
204.9930452389503,296269.75
204.9932297065106,235760.203125
205.0816987412934,236066.3125
205.0818436385215,341406.3125
205.0820010002597,346271.5625
205.085793335376,282419.375
205.0860418519616,335562.03125
205.0970363921418,423053.75
205.0972155929647,625736.25
205.1181725617436,277484.75
205.126222983961,235814.5
205.126503552181,379126.84375
205.9034680444308,605568.8125
205.9036541541598,451464.8125
206.0658120202758,256421.65625
206.0660023561588,250492.71875
206.903182852618,214450.484375
206.9950607883225,242395.515625
207.0078618879917,305395.78125
207.0080174570028,381998.53125
207.9017137631052,420790.90625
207.9663733532561,1182887.125
207.9665287640956,1081973.625
208.1694946947072,220305.078125
208.1959663066797,213087.640625
208.3687131160572,703234.75
208.369007449583,9785480.0
208.3691956304698,801295.875
208.3693082174869,362930.90625
208.7019219429053,246292.359375
208.7022212523653,1897418.375
208.7034830407696,1600080.0
209.033165577715,407529.21875
209.0333306803177,336211.28125
209.0343884762217,271042.6875
209.0346579852298,1230750.0
209.0366724454367,331380.59375
209.0785097990613,239505.09375
209.1170939792493,241162.09375
209.1534811861647,1050231.0
209.1536659251013,1075909.0
209.1898243205484,223571.515625
209.190089367265,368918.5625
209.3007186637679,216969.5
210.1099161953011,382627.6875
210.1101001746222,670871.25
210.6471349853514,209814.984375
211.072975033251,247547.953125
211.0939437522903,457946.40625
211.0941137770347,609035.75
211.1692196809204,227245.828125
211.4365587291378,212312.828125
211.6688662680466,229757.03125
211.8039754937245,218286.90625
211.9536258453572,229147.0625
212.0681828109614,247038.109375
212.0684843567258,265249.46875
212.497021880917,213340.8125
213.0178268050897,224853.8125
213.0522355344599,391770.46875
213.0524129321757,485302.46875
213.0980854354295,2384564.0
213.0982637506179,2595250.75
213.0985539339904,298994.6875
213.1096428953664,410730.46875
213.1098136590848,386732.03125
213.1233763688649,246586.140625
213.1847127740717,276650.03125
213.1849703629356,319092.84375
213.312851664869,232250.578125
213.6870135105684,239596.8125
213.7530314143656,210158.328125
214.0021466562749,235923.109375
214.0023459976927,367799.1875
214.1014434351975,241308.578125
214.1016251316072,261013.921875
214.1799828480834,356683.78125
214.1802029130876,341731.78125
214.7691209026231,212047.515625
214.8027645620174,229484.4375
214.9627333279876,448534.9375
214.9628933800583,304315.0
214.9630602795295,219944.34375
214.9951560127182,241800.375
214.9974179874401,242076.953125
215.0063893006479,1836298.25
215.0065417115576,2296618.75
215.0068533839798,275903.5
215.0401347515903,233871.6875
215.0484372163679,265847.375
215.1278325115167,415020.25
215.1389759355589,308198.875
215.2005577564959,761028.3125
215.8240491455241,494952.71875
215.9811288728214,235391.171875
216.0631842033098,4291413.5
216.159266730435,374823.75
216.1594623217487,500190.84375
216.1958787637914,226792.140625
216.6393454079836,219988.515625
216.9629811300699,317358.875
216.9631589968396,319267.375
217.0019365543226,224089.078125
217.0046674729954,233671.9375
217.0381627965477,269685.8125
217.0663804834592,230386.1875
217.0665271016042,248627.796875
217.0666981563565,216876.296875
217.0683406447914,282932.46875
217.1045113632465,525000.4375
217.1046903351802,683353.875
217.1069969169441,234339.953125
217.14333160907,215137.984375
217.1562578895771,238968.28125
217.1586205957055,211965.6875
217.2672881129158,204454.21875
217.7468106893904,215855.375
217.9226958070101,219048.0625
218.1173635984406,228909.84375
218.138519689022,309181.15625
218.1387655912318,411184.40625
218.3908660389919,218770.8125
218.758499782319,215693.359375
219.0176612944877,704860.75
219.0263954742427,349108.03125
219.0266087284424,460313.3125
219.0629835303162,243686.953125
219.0975699011198,291870.65625
219.1337139014325,272589.25
219.1338820036917,499161.65625
219.1340349858662,262384.375
219.2106151396371,1360480.25
220.1213900470825,206336.234375
220.1441260804702,217900.75
220.2139189734809,256017.0
220.214079754914,233494.9375
220.2959965284976,216156.140625
220.9967508265441,1133531.875
220.9969453193911,1374886.25
221.0214912550623,232726.875
221.1170869681484,648098.75
221.1172789560504,491942.21875
221.3768223799061,1429496.875
221.7112876428916,346902.28125
221.9457498807949,523113.6875
221.9819736269972,537379.625
221.9821716832477,479455.6875
223.0637817742618,220255.296875
223.0740370936553,384346.5625
223.074570761052,7452653.5
223.0747523375876,9582262.0
223.0754417780918,244562.3125
223.0941421727773,266489.8125
223.0965455119128,357193.9375
223.1277788790709,209549.15625
223.1328784701917,283656.28125
223.1669576524048,359423.09375
223.2053999568963,267373.9375
223.2055512943952,318782.53125
223.2057450805168,265860.9375
223.2736518393042,242058.0625
224.0779597459177,581841.375
224.078139239512,666722.1875
224.1280645000735,382432.5625
225.0523039136759,391465.3125
225.0524540135105,448830.5
225.070247891287,217799.171875
225.0705312500727,438428.46875
225.109614387314,318515.21875
225.1097664408105,416075.65625
225.1483580642673,263364.96875
225.1725642572749,206454.515625
225.1998303924361,228804.609375
225.2211388282204,214934.4375
225.2213220369991,250470.46875
225.257892718104,224641.15625
226.0838446292074,939802.3125
226.0840699542509,1089482.625
226.1800358040412,2894787.25
226.1802063629393,3203850.75
226.4580011881579,213897.59375
226.9628660384827,1091100.25
227.0576486854187,216801.953125
227.0678705691915,602465.0625
227.1138880809897,430542.40625
227.1278185122205,250827.234375
227.1640389416434,524969.4375
227.1642004738752,638173.5
227.1751766014069,238138.984375
227.175452858307,413585.5
227.1831825884699,255704.640625
227.1833747390938,449745.1875
227.1835917454128,448999.59375
227.2005195156676,1175720.75
227.2368587805204,343348.46875
227.391718466202,215258.625
227.9602917711931,212690.328125
228.0819840795194,235024.921875
228.1958334340918,3557612.0
228.1963311242861,293513.3125
228.2039973707681,237388.171875
228.2322139412857,809555.625
228.6120042319008,239743.953125
228.7489848063348,251336.671875
228.7492086907021,316960.125
228.7729807257496,261495.59375
228.9420863850562,715840.5625
228.9783002797553,264261.28125
228.9785537474745,305878.21875
228.9907422253499,244553.015625
229.0471446654161,330040.65625
229.0835628840857,486658.4375
229.083749514515,467215.75
229.1045247429735,216638.46875
229.118259013062,448633.65625
229.1293761688472,246842.0
229.1432758327364,218421.234375
229.1545500653115,296797.28125
229.1989857384462,407962.75
229.1991637998624,462081.4375
229.215450291763,218248.640625
229.2156050230749,269025.71875
229.2160984129927,3614026.0
229.2162589841348,4233718.0
229.4926303396621,228976.234375
229.7294241930687,231614.234375
229.9269525211134,256076.65625
229.9272090726128,932676.5
229.9273853296992,913785.6875
229.9746505842861,279480.5625
230.0675531120721,219467.828125
230.0788321985304,247187.265625
230.1749237776122,314754.71875
230.1751141531398,383058.8125
230.2194566769249,603290.5625
230.2196304372645,665305.625
230.2473991388765,236999.34375
230.2477261235003,1157730.5
230.2479058181487,1169819.5
230.9351735206099,337234.59375
230.9786146852909,268962.84375
231.0176198394956,302143.53125
231.0209235035724,224797.765625
231.0837654780707,265534.90625
231.083986043358,279517.65625
231.1226508187053,240014.40625
231.1354495970177,334725.15625
231.2106382565651,314682.84375
231.2107907424513,303947.09375
231.2510411764709,261754.234375
231.4104523076576,229014.984375
231.7459333897775,217432.34375
232.0127387461937,245145.421875
232.0129152240723,310212.59375
232.1402895717819,1319332.75
232.1404762252287,1340878.625
232.1544441446725,210232.1875
232.5472829668361,307563.625
232.5996604693271,221773.40625
232.6276093967244,470788.28125
232.6477180968761,1213742.75
232.6678332818474,458588.0
232.68792587113,294853.375
232.6909811270643,233174.453125
232.7281490505642,603247.9375
232.7482671097899,644334.5
232.8488950397076,309115.0
232.8945114374745,210723.234375
232.9495994658186,229004.265625
232.9869681996583,203440.109375
233.0420084423057,281343.625
233.059138428281,465592.34375
233.0784076417746,352359.21875
233.0786300187337,321481.65625
233.1130532519278,394072.75
233.1132545578589,502851.875
233.1496755151344,229474.625
233.4211027970592,222278.875
233.4212461022289,201541.453125
233.4312784060518,218260.234375
233.5112340967996,226225.59375
233.942090106906,231726.234375
233.9820042848612,359630.375
234.0567086068817,248747.9375
234.1446456111812,251114.640625
234.1448908442698,283151.125
234.9898051894018,249357.953125
234.9899780428628,299282.65625
235.0238100535068,230903.265625
235.0366281096628,235668.171875
235.0489497199234,281841.625
235.0924010847054,438297.875
235.1328910637585,360309.875
235.1544077426635,221123.421875
235.1691443231654,606342.5625
235.1692662223725,577868.4375
235.2055558049537,629069.6875
235.2057730372671,411689.75
235.555500715973,218220.03125
235.9615272907308,232618.15625
235.9978663285273,285054.53125
236.2090157090539,220095.65625
236.5537020770131,232876.3125
236.5538616919494,217428.828125
236.9691600554422,266385.90625
237.0280117782025,790285.375
237.028228227457,864053.1875
237.0902296328579,306015.9375
237.0903790403949,313544.71875
237.109532875876,232195.6875
237.1485222344434,506841.96875
237.1823847577282,342966.65625
237.2193056435682,230161.484375
237.220460518489,241152.1875
237.2206460499849,419290.1875
237.2211672074239,5457667.0
237.2213391898816,5565962.0
237.2219630192529,324810.8125
237.8427651219635,220743.765625
237.8844628182538,280870.15625
237.8846897438505,379264.1875
237.9296557566774,327951.75
237.9298853898898,391768.09375
238.0449900195597,410828.75
238.0452078053818,346431.6875
238.1414777069839,221410.078125
238.2241639797421,293214.5
238.2245134875835,869599.3125
238.2247068998832,923038.75
238.8838140316758,213584.140625
238.9294398550322,265362.125
239.0427858494471,341886.03125
239.0678029034206,332493.125
239.0680373853355,453337.34375
239.0891050541073,259367.09375
239.1026991886966,219464.625
239.1044697112412,252489.125
239.1251847609572,254038.9375
239.1254098233821,462743.90625
239.1278182826391,231241.578125
239.1487751966694,336935.84375
239.1489812356141,493304.09375
239.161651459036,333696.28125
239.1618787089942,327244.125
239.1643000867585,246919.0
239.2006208089182,294844.375
239.236885247707,404843.1875
239.4522980447172,221761.140625
239.6645552118582,276762.40625
240.1594216755716,220305.296875
240.2320462072528,343012.3125
240.2322514446486,502920.46875
240.5068698367503,213027.171875
240.766958289305,204418.734375
240.9766864998734,307149.09375
240.9769091453194,244567.515625
241.0473637441478,277631.34375
241.0836423871543,369351.71875
241.0838609241324,274111.75
241.1295018480507,282150.4375
241.1433225428638,251057.796875
241.1545321202095,238406.125
241.1798601018867,271050.9375
241.2160843409271,1087531.75
241.2162551595103,1132480.5
241.2526008325754,251369.421875
241.4559475150403,208796.53125
241.9844682814359,321788.34375
241.9846814047372,317808.5
242.0422330082058,278345.8125
242.0425010316295,297702.40625
242.1752058849482,243981.171875
242.2113315066507,558213.4375
242.2114537526553,553695.0625
242.219363059693,229536.875
242.2196048512763,254624.375
242.2476950815612,357753.875
242.2478608426012,424286.09375
242.2842886645454,237057.359375
242.9350334883536,483512.84375
242.9352723383179,341016.5625
242.9786168975302,224931.84375
242.992285648289,806603.375
242.9925191425901,1216819.25
243.1086908819309,448559.90625
243.1227289939509,236063.328125
243.1338693342246,252508.375
243.1828693878072,216722.296875
243.1955489020218,231484.46875
243.2317324955608,3923516.75
243.2319209742553,4546268.5
243.2323697081364,411401.28125
244.0035134794394,269903.03125
244.0942958886602,1610515.875
244.0945215732939,1957014.875
244.1290634148614,272247.625
244.1292726051747,218245.9375
244.1654171312818,269911.53125
244.1656341135575,279276.4375
244.1907525560549,5246769.5
244.191576488746,266422.125
244.2350656045905,631127.6875
244.2352694522746,747815.1875
244.8331929221918,207727.9375
244.9581629365394,239299.109375
244.9731457475817,260913.578125
244.9734353073453,367776.15625
245.0255333012432,740176.875
245.0768068486031,500464.53125
245.0770493724033,215608.359375
245.0784628062099,385371.21875
245.0979004262259,295549.125
245.1131379242267,224857.578125
245.1148238630616,403766.75
245.1383698938653,251620.234375
245.1748300074016,256658.734375
245.1860417352269,209700.984375
245.1939343733054,538470.8125
245.1941292459387,740849.125
245.550049682748,227862.1875
245.9703624890141,211928.3125
246.000392061412,206051.296875
246.0296805897857,296501.09375
246.1446611608949,223334.5625
246.1449243192514,242795.625
246.1812433251041,443558.65625
246.2484980826352,234385.640625
246.4859132223578,210372.546875
246.9525877132726,221048.890625
246.9569751120945,241846.0625
247.0125461284389,330357.65625
247.0139706741632,273851.5625
247.0142362596746,325112.71875
247.0487570654854,266951.40625
247.0577689216931,271436.78125
247.109430061561,273347.0625
247.1096048048249,319096.625
247.1286651799139,352260.71875
247.1289106504823,441703.03125
247.1305288453903,243511.828125
247.2056910714044,289021.5
247.2265906325851,231323.34375
247.2268193162517,230785.5625
247.2418448733494,229424.265625
247.2420832092611,222860.671875
247.2649021793233,209074.421875
247.3355168339055,205882.90625
247.5207389959779,219340.078125
247.776307500417,210985.765625
248.0278846083103,226806.078125
248.081682149097,207660.140625
248.1240364807198,251091.734375
248.1603550463813,545964.1875
248.1605723431052,373432.5625
249.0455570673897,618075.3125
249.0993579925959,216202.015625
249.1081189372803,254737.359375
249.1459201827729,290032.1875
249.1461420832675,395004.875
249.1571898933515,328782.40625
249.1573865172556,297249.96875
249.1823108223963,430469.5
249.1825787909426,545012.4375
249.1847961665249,240226.21875
249.2210940499003,285273.875
249.2213989159178,288307.90625
249.8976075318757,222589.546875
249.9296901509975,593528.5
249.9299203917479,516033.96875
249.9724522086202,215706.21875
249.9837319992481,441793.25
249.983960024598,373963.5625
250.0177349409511,211056.125
250.0619088741479,214189.265625
250.0861305933938,2396224.75
250.0863130472738,2563249.0
250.0934185297249,318465.875
250.0936762971326,288121.3125
250.121950524888,302546.84375
250.1775269727078,343042.40625
250.1777397013876,475585.8125
250.5097033305699,235050.796875
250.9714125897143,473024.71875
250.9716266706346,814007.0625
251.0124813946459,242495.21875
251.0686306394617,230374.140625
251.0694765370275,6652877.0
251.069675023135,8241678.0
251.0703913270777,300205.75
251.0893897597711,313801.6875
251.0896612618536,478270.65625
251.1276136875852,278642.0
251.1278513972171,386620.03125
251.1641812881203,256239.125
251.1981479150643,832712.125
251.2004240986244,325000.6875
251.2367843447875,267285.25
251.2370526583473,296729.21875
251.3600403264972,224008.875
251.9277923591452,223187.390625
251.9280733185425,356044.90625
251.9728367420038,537410.0625
251.9730931062177,549864.125
252.0729913632775,824273.5
252.109131410747,345207.28125
252.1341340556103,225638.390625
252.1593465838191,242532.421875
252.2015396804507,269560.9375
252.7070719976265,220069.25
252.8316988269389,210574.71875
252.9736106270707,1177677.75
252.9738316934358,1282582.25
253.0471237430116,229330.28125
253.0593724719455,363897.5
253.0595136233068,365443.0
253.0652908820043,410284.15625
253.0654901638824,303797.75
253.0835169823883,428403.03125
253.083751290994,347017.375
253.1047654949704,257439.4375
253.1408696879779,239027.671875
253.1432328465502,328935.125
253.1434749808097,542525.0625
253.2138684474372,259471.90625
253.2160803605659,855215.8125
253.4751340865835,222661.390625
254.0188870084237,523154.625
254.0190662821313,624297.75
254.0208924980404,236460.75
254.0322262608069,350880.875
254.1151443812319,302091.28125
254.1153202026376,323058.40625
254.1610773212521,659037.375
254.1611473162633,658984.75
254.2194641610754,234111.53125
254.6487354309821,225630.71875
254.6597072732182,208231.328125
254.9799546681662,231053.203125
255.0627745542167,335493.0625
255.0629559068997,334386.90625
255.097569467864,1124495.625
255.0990062282916,209279.671875
255.0992033019782,343047.375
255.0993822957733,376474.09375
255.1228013102079,299215.75
255.1355315335915,293824.09375
255.1451225385709,369908.28125
255.158790167721,229188.0625
255.158999392887,206988.09375
255.2297974907065,259416.421875
255.2303199404873,406665.65625
255.2304568878399,380028.78125
255.2307929222734,710156.1875
255.231889715863,26569744.0
255.2328453456857,662884.125
255.2331469979994,433778.0
255.2333726343957,267189.53125
255.2335856017354,307139.125
255.2424684059248,217101.875
255.2681097113015,303664.125
255.2683004081656,255858.59375
256.0304745573823,239553.34375
256.0813823135522,405250.34375
256.0816416403197,494211.5625
256.1006000317728,240855.265625
256.2344277770722,288974.625
256.2352425642031,4381566.5
256.2359059506871,259978.1875
256.2630092285369,207923.578125
256.2633419055176,1297914.0
256.26354382323,1433924.75
256.2997481894032,3388499.25
256.2999209632532,3637069.75
256.8443963747508,221498.265625
257.01680873191,363343.6875
257.0169702385087,358416.84375
257.1058792224386,226179.171875
257.1242376965165,366879.9375
257.1244801590555,485574.5625
257.1383637389562,250293.578125
257.1513240794907,230101.59375
257.2109790634851,325061.1875
257.2384367111027,327328.71875
257.2386291375293,247840.03125
257.2461082526443,301102.75
257.247553382542,17823500.0
257.2483476593242,603441.4375
257.2486645133908,343347.28125
257.2667350668959,236746.5625
257.2669287615788,220471.34375
257.2801693426594,207316.640625
257.2805530946357,219525.90625
257.3030499494713,558480.9375
257.3032902968334,680531.625
257.4691186023908,218318.34375
257.5848673165399,207854.859375
257.8704415806739,225532.265625
258.1074086370455,236107.4375
258.1078719822552,286022.78125
258.1081440672347,322360.34375
258.1083711136424,344763.34375
258.1086129678647,688857.125
258.1089245409357,984224.0
258.1101467784055,58246072.0
258.1113708784171,728861.0625
258.111713924656,494382.625
258.1118842141356,391121.90625
258.112108799154,274321.0625
258.112233431668,291852.53125
258.1124691231872,274685.15625
258.1698518370614,281715.28125
258.2061720826457,366718.09375
258.2064462272411,393233.0625
258.2509283398913,2988864.0
258.2513854062836,300541.21875
258.2791416331888,613394.3125
258.6048182038325,226902.734375
258.9648185924707,462141.65625
259.0411719253887,262523.09375
259.1069981149571,216641.671875
259.1134900517329,4813410.5
259.1139420931581,457629.96875
259.1164883532077,227300.875
259.1283709399571,248057.46875
259.1287372162902,1951379.625
259.1288758916394,1933271.875
259.1903218060453,293280.15625
259.2013886001188,231931.4375
259.2268109004171,222784.875
259.2541684357282,293022.40625
